Taxon,A1_1,A1_2,A1_3,A4_1,A4_2,A4_3,A5_1,A5_2,A5_3,S1_1,S1_2,S1_3,S2_1,S2_2,S2_3,S3_1,S3_2,S3_3,S4_1,S4_2,S4_3,RF2_1,RF2_2,RF2_3,RF3_1,RF3_2,RF3_3,RF5_1,RF5_2,RF5_3
Ascomycota,28342,30551,22411,30369,31344,26248,29335,30378,29055,21481,4323,28008,7005,26633,23560,12583,28159,28569,32525,31246,32096,29685,29190,25925,22824,19918,31955,25508,23971,17038
Basidiobolomycota,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Basidiomycota,2665,1138,2354,1622,1199,2396,1804,1468,1591,3526,31001,1383,27935,2543,3066,20482,1767,443,2397,1321,635,748,2369,2574,1660,376,1576,2781,3179,4346
Chytridiomycota,134,63,246,14,76,201,51,5,56,1021,44,244,18,1011,799,120,280,130,16,156,105,68,119,101,90,67,78,95,59,448
Glomeromycota,123,98,109,378,51,476,613,725,631,57,31,40,43,19,67,74,66,14,29,11,10,52,156,119,27,39,72,8,20,21
Kickxellomycota,0,0,0,0,2,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0
Mortierellomycota,744,463,858,432,572,676,1049,890,1001,709,95,766,169,764,1799,791,1204,242,227,1084,233,1455,1372,2418,995,1028,889,140,245,344
Mucoromycota,39,24,100,46,71,233,3,0,0,92,13,0,0,0,0,0,0,10,0,0,0,0,0,15,41,12,4,16,12,16
Olpidiomycota,0,0,0,86,0,41,0,89,23,20,0,68,35,0,0,18,61,10,5,31,0,62,0,0,0,60,30,28,6,0
Rozellomycota,31,16,28,0,0,0,0,0,0,0,0,0,0,0,0,72,52,0,18,0,0,0,0,0,0,0,0,129,110,280
Zoopagomycota,0,0,0,73,0,0,0,0,0,0,19,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,3,0,0
unclassified_Fungi,2215,3377,8540,3209,1792,3657,3408,2675,3530,3537,880,3976,1195,4430,2916,2339,4104,5871,1429,2221,3481,3474,2518,4420,7603,13638,1948,7014,7649,11357
unidentified,2591,1154,2238,655,1777,2940,621,654,997,6441,478,2399,484,1484,4677,405,1191,1595,229,814,324,1340,1157,1305,3644,1746,332,1162,1633,3034
